  feature  fake_mean_tfidf  real_mean_tfidf  difference
    trump         0.054147         0.037531    0.016616
  hillary         0.018535         0.002900    0.015635
    video         0.014450         0.001250    0.013200
    image         0.013313         0.000485    0.012828
    obama         0.018896         0.007288    0.011608
     like         0.014317         0.003329    0.010989
  clinton         0.020062         0.009556    0.010506
      via         0.010669         0.000439    0.010230
    black         0.011227         0.001487    0.009740
    woman         0.013023         0.003899    0.009124
     know         0.011265         0.002224    0.009041
  america         0.011023         0.002380    0.008643
     even         0.011096         0.002990    0.008106
      get         0.011511         0.003734    0.007777
 american         0.013391         0.005686    0.007705
    watch         0.008304         0.000633    0.007672
image via         0.007236         0.000000    0.007236
      gop         0.006986         0.000114    0.006872
      one         0.014977         0.008149    0.006828
    thing         0.008928         0.002116    0.006812
