           feature  fake_mean_tfidf  real_mean_tfidf  difference
              said         0.014162         0.049704   -0.035542
           reuters         0.000211         0.022921   -0.022710
          minister         0.001049         0.013004   -0.011955
             state         0.012817         0.024211   -0.011394
             china         0.001353         0.012571   -0.011218
             korea         0.001473         0.012556   -0.011084
        government         0.006063         0.016504   -0.010441
washington reuters         0.000000         0.010390   -0.010390
             north         0.002895         0.013134   -0.010239
        washington         0.003984         0.013331   -0.009347
       north korea         0.001164         0.010178   -0.009014
             house         0.008865         0.017514   -0.008649
          official         0.004909         0.013495   -0.008586
                eu         0.000431         0.008922   -0.008491
            senate         0.003818         0.012176   -0.008358
         wednesday         0.002038         0.010060   -0.008021
               tax         0.004334         0.012232   -0.007899
          thursday         0.002129         0.009968   -0.007839
            united         0.006083         0.013609   -0.007525
           tuesday         0.002365         0.009885   -0.007520
